code,name,섹터,시총,주가,no,증권사,일자,목표주가,직전목표주가,증감율,투자의견,직전투자의견,평균목표주가,평균직전목표주가,평균투자의견,평균직전투자의견
A095570,AJ네트웍스,FICS  운송인프라,"2,134","4,715",01,교보증권,2024/05/24,"6,500","6,500",0.00,4.00,4.00,"7,000","7,000",4.00,4.00
A095570,AJ네트웍스,FICS  운송인프라,"2,134","4,715",08,유진투자증권,2024/05/17,"6,500","6,500",0.00,4.00,4.00,"7,000","7,000",4.00,4.00
A095570,AJ네트웍스,FICS  운송인프라,"2,134","4,715",93,흥국증권,2024/03/20,"8,000","8,000",0.00,4.00,4.00,"7,000","7,000",4.00,4.00
A265520,AP시스템,FICS  디스플레이 및 관련부품,"4,432","29,000",02,신한투자증권,2024/06/10,"50,000","50,000",0.00,4.00,4.00,"50,000","50,000",4.00,4.00
A211270,AP위성,FICS  통신장비,"2,238","14,840",KB,KB증권,2024/05/13,,,,0.00,0.00,,,,
A211270,AP위성,FICS  통신장비,"2,238","14,840",02,신한투자증권,2024/04/16,,,,0.00,0.00,,,,
A027410,BGF,FICS  화학,"3,455","3,610",93,흥국증권,2024/05/27,"6,800","6,800",0.00,4.00,4.00,"6,800","6,800",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",10,메리츠증권,2024/06/05,"170,000","170,000",0.00,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",02,신한투자증권,2024/05/30,"170,000","170,000",0.00,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",08,유진투자증권,2024/05/21,"200,000","200,000",0.00,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",12,NH투자증권,2024/05/21,"170,000","170,000",0.00,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",AP,대신증권,2024/05/08,"170,000","170,000",0.00,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",03,한국투자증권,2024/05/03,"165,000","180,000",-8.33,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",56,하나증권,2024/05/03,"170,000","170,000",0.00,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",31,DB금융투자,2024/05/03,"170,000","170,000",0.00,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",KB,KB증권,2024/05/03,"170,000","170,000",0.00,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",05,미래에셋증권,2024/05/03,"180,000","180,000",0.00,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",21,한화투자증권,2024/05/03,"160,000","180,000",-11.11,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",50,키움증권,2024/04/15,"190,000","210,000",-9.52,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",93,흥국증권,2024/04/05,"180,000","250,000",-28.00,4.00,4.00,"174,643","183,846",4.00,4.00
A282330,BGF리테일,FICS  도소매,"19,876","115,000",99,상상인증권,2024/03/25,"180,000",,,4.00,,"174,643","183,846",4.00,4.00
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",30,삼성증권,2024/06/13,"10,400","10,400",0.00,4.00,4.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",05,미래에셋증권,2024/06/10,"9,500",,,4.00,,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",50,키움증권,2024/06/03,"11,000","11,000",0.00,4.00,4.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",25,SK증권,2024/05/09,"9,700","9,700",0.00,4.00,4.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",01,교보증권,2024/05/07,"10,500","9,800",7.14,4.00,4.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",63,IBK투자증권,2024/05/02,"9,000","9,000",0.00,3.00,3.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",02,신한투자증권,2024/05/02,"10,000","9,000",11.11,4.00,4.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",67,BNK투자증권,2024/05/02,"10,000","10,000",0.00,4.00,4.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",88,LS증권,2024/05/02,"9,500","8,500",11.76,4.00,4.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",03,한국투자증권,2024/05/02,"10,000","9,000",11.11,4.00,4.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",62,DS투자증권,2024/05/02,"10,000","9,000",11.11,4.00,4.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",31,DB금융투자,2024/05/02,"10,300","9,600",7.29,4.00,4.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",56,하나증권,2024/05/02,"11,500","10,500",9.52,4.00,4.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",10,메리츠증권,2024/04/30,"10,000","9,500",5.26,4.00,4.00,"10,053","9,514",3.87,3.86
A138930,BNK금융지주,FICS  상업은행,"25,864","8,030",KB,KB증권,2024/04/30,"9,400","8,200",14.63,3.00,3.00,"10,053","9,514",3.87,3.86
A001040,CJ,FICS  복합 산업,"42,873","129,100",67,BNK투자증권,2024/06/11,"170,000","160,000",6.25,4.00,4.00,"160,455","133,545",3.82,3.82
A001040,CJ,FICS  복합 산업,"42,873","129,100",21,한화투자증권,2024/06/05,"156,000","156,000",0.00,4.00,4.00,"160,455","133,545",3.82,3.82
A001040,CJ,FICS  복합 산업,"42,873","129,100",56,하나증권,2024/05/27,"160,000","140,000",14.29,4.00,4.00,"160,455","133,545",3.82,3.82
A001040,CJ,FICS  복합 산업,"42,873","129,100",24,유안타증권,2024/05/27,"164,000","130,000",26.15,4.00,4.00,"160,455","133,545",3.82,3.82
A001040,CJ,FICS  복합 산업,"42,873","129,100",01,교보증권,2024/05/21,"165,000","130,000",26.92,4.00,4.00,"160,455","133,545",3.82,3.82
A001040,CJ,FICS  복합 산업,"42,873","129,100",12,NH투자증권,2024/05/17,"140,000","110,000",27.27,3.00,3.00,"160,455","133,545",3.82,3.82
A001040,CJ,FICS  복합 산업,"42,873","129,100",25,SK증권,2024/05/17,"160,000","125,000",28.00,3.00,3.00,"160,455","133,545",3.82,3.82
A001040,CJ,FICS  복합 산업,"42,873","129,100",46,하이투자증권,2024/05/13,"180,000","123,000",46.34,4.00,4.00,"160,455","133,545",3.82,3.82
A001040,CJ,FICS  복합 산업,"42,873","129,100",62,DS투자증권,2024/05/08,"170,000","140,000",21.43,4.00,4.00,"160,455","133,545",3.82,3.82
A001040,CJ,FICS  복합 산업,"42,873","129,100",AP,대신증권,2024/03/25,"150,000","135,000",11.11,4.00,4.00,"160,455","133,545",3.82,3.82
A001040,CJ,FICS  복합 산업,"42,873","129,100",93,흥국증권,2024/03/22,"150,000","120,000",25.00,4.00,4.00,"160,455","133,545",3.82,3.82
A079160,CJ CGV,FICS  미디어,"6,917","5,650",10,메리츠증권,2024/06/05,"9,000","11,000",-18.18,4.00,4.00,"8,260","9,075",3.80,3.75
A079160,CJ CGV,FICS  미디어,"6,917","5,650",AP,대신증권,2024/06/04,"10,000","10,000",0.00,4.00,4.00,"8,260","9,075",3.80,3.75
A079160,CJ CGV,FICS  미디어,"6,917","5,650",24,유안타증권,2024/05/23,"7,000",,,4.00,,"8,260","9,075",3.80,3.75
A079160,CJ CGV,FICS  미디어,"6,917","5,650",30,삼성증권,2024/05/14,"6,300","6,300",0.00,3.00,3.00,"8,260","9,075",3.80,3.75
A079160,CJ CGV,FICS  미디어,"6,917","5,650",02,신한투자증권,2024/04/30,"9,000","9,000",0.00,4.00,4.00,"8,260","9,075",3.80,3.75
A035760,CJ ENM,FICS  미디어,"18,289","83,400",08,유진투자증권,2024/06/13,"110,000","110,000",0.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",AP,대신증권,2024/06/05,"110,000","110,000",0.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",10,메리츠증권,2024/06/05,"105,000","100,000",5.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",21,한화투자증권,2024/05/30,"110,000","100,000",10.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",62,DS투자증권,2024/05/27,"110,000","110,000",0.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",50,키움증권,2024/05/23,"105,000","105,000",0.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",12,NH투자증권,2024/05/21,"110,000","110,000",0.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",56,하나증권,2024/05/20,"110,000","110,000",0.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",22,현대차증권,2024/05/16,"110,000","110,000",0.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",02,신한투자증권,2024/05/14,"115,000","105,000",9.52,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",93,흥국증권,2024/05/10,"100,000","100,000",0.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",30,삼성증권,2024/05/10,"103,000","103,000",0.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",13,부국증권,2024/05/10,"100,000","95,000",5.26,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",03,한국투자증권,2024/05/10,"110,000","110,000",0.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",31,DB금융투자,2024/05/10,"107,000","107,000",0.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",KB,KB증권,2024/05/09,"111,000","111,000",0.00,4.00,4.00,"108,000","106,000",4.00,4.00
A035760,CJ ENM,FICS  미디어,"18,289","83,400",24,유안타증권,2024/03/29,"110,000",,,4.00,,"108,000","106,000",4.00,4.00
A000120,CJ대한통운,FICS  육상운수,"22,653","99,300",AP,대신증권,2024/06/14,"175,000","175,000",0.00,4.00,4.00,"164,300","168,200",4.00,4.00
A000120,CJ대한통운,FICS  육상운수,"22,653","99,300",88,LS증권,2024/06/04,"159,000","180,000",-11.67,4.00,4.00,"164,300","168,200",4.00,4.00
A000120,CJ대한통운,FICS  육상운수,"22,653","99,300",02,신한투자증권,2024/05/28,"175,000","175,000",0.00,4.00,4.00,"164,300","168,200",4.00,4.00
A000120,CJ대한통운,FICS  육상운수,"22,653","99,300",46,하이투자증권,2024/05/21,"165,000","165,000",0.00,4.00,4.00,"164,300","168,200",4.00,4.00
A000120,CJ대한통운,FICS  육상운수,"22,653","99,300",31,DB금융투자,2024/05/13,"167,000","185,000",-9.73,4.00,4.00,"164,300","168,200",4.00,4.00
A000120,CJ대한통운,FICS  육상운수,"22,653","99,300",05,미래에셋증권,2024/05/13,"175,000","175,000",0.00,4.00,4.00,"164,300","168,200",4.00,4.00
A000120,CJ대한통운,FICS  육상운수,"22,653","99,300",30,삼성증권,2024/05/13,"150,000","150,000",0.00,4.00,4.00,"164,300","168,200",4.00,4.00
A000120,CJ대한통운,FICS  육상운수,"22,653","99,300",03,한국투자증권,2024/05/13,"160,000","160,000",0.00,4.00,4.00,"164,300","168,200",4.00,4.00
A000120,CJ대한통운,FICS  육상운수,"22,653","99,300",12,NH투자증권,2024/05/13,"167,000","167,000",0.00,4.00,4.00,"164,300","168,200",4.00,4.00
A000120,CJ대한통운,FICS  육상운수,"22,653","99,300",KB,KB증권,2024/05/10,"150,000","150,000",0.00,4.00,4.00,"164,300","168,200",4.00,4.00
A097950,CJ제일제당,FICS  식료품,"59,630","382,000",10,메리츠증권,2024/06/05,"460,000","460,000",0.00,4.00,4.00,"452,667","441,333",4.00,4.00
A097950,CJ제일제당,FICS  식료품,"59,630","382,000",22,현대차증권,2024/05/31,"410,000","410,000",0.00,4.00,4.00,"452,667","441,333",4.00,4.00
A097950,CJ제일제당,FICS  식료품,"59,630","382,000",02,신한투자증권,2024/05/30,"460,000","460,000",0.00,4.00,4.00,"452,667","441,333",4.00,4.00
A097950,CJ제일제당,FICS  식료품,"59,630","382,000",56,하나증권,2024/05/29,"480,000","480,000",0.00,4.00,4.00,"452,667","441,333",4.00,4.00
A097950,CJ제일제당,FICS  식료품,"59,630","382,000",46,하이투자증권,2024/05/29,"470,000","430,000",9.30,4.00,4.00,"452,667","441,333",4.00,4.00
A097950,CJ제일제당,FICS  식료품,"59,630","382,000",62,DS투자증권,2024/05/27,"520,000","520,000",0.00,4.00,4.00,"452,667","441,333",4.00,4.00
A097950,CJ제일제당,FICS  식료품,"59,630","382,000",12,NH투자증권,2024/05/21,"430,000","430,000",0.00,4.00,4.00,"452,667","441,333",4.00,4.00
A097950,CJ제일제당,FICS  식료품,"59,630","382,000",99,상상인증권,2024/05/21,"470,000","420,000",11.90,4.00,4.00,"452,667","441,333",4.00,4.00
A097950,CJ제일제당,FICS  식료품,"59,630","382,000",50,키움증권,2024/05/20,"440,000","440,000",0.00,4.00,4.00,"452,667","441,333",4.00,4.00
A097950,CJ제일제당,FICS  식료품,"59,630","382,000",63,IBK투자증권,2024/05/16,"440,000","400,000",10.00,4.00,4.00,"452,667","441,333",4.00,4.00
A097950,CJ제일제당,FICS  식료품,"59,630","382,000",01,교보증권,2024/05/16,"410,000","410,000",0.00,4.00,4.00,"452,667","441,333",4.00,4.00
