code,name,sector,big,middle,small
60310,3S,기계,반도체,반도체_장비(기타),반도체웨이퍼 이송장치
95570,AJ네트웍스,운송인프라,전문서비스,B2B서비스,렌탈사업 등
6840,AK홀딩스,화학,지주사,지주사,지주사
54620,APS,IT서비스,지주사,지주사,지주사
265520,AP시스템,디스플레이및관련부품,디스플레이,디스플레이_장비,AMOLED 제조장비
211270,AP위성,통신장비,통신,위성통신,위성통신 단말기
109960,AP헬스케어,제약,모름,모름,모름
139050,BF랩스,일반소프트웨어,인터넷,SI_비계열,시스템통합(SI)
27410,BGF,화학,지주사,지주사,지주사
282330,BGF리테일,도소매,유통,편의점,편의점
126600,BGF에코머티리얼즈,자동차부품,Auto,자동차부품_차체,자동차용 내/외장재(컴파운드)
138930,BNK금융지주,상업은행,금융,금융지주,"부산은행, 경남은행 등"
1460,BYC,섬유및의복,패션,의류_내의,내의
13720,CBI,자동차부품,Auto,자동차부품_동력발생,엔진부품
83790,CG인바이츠,바이오,헬스케어,바이오_기술이전,질환 단백질 표적
1040,CJ,복합산업,지주사,지주사,지주사
79160,CJ CGV,미디어,방송미디어,영화,영화관 운영업
35760,CJ ENM,미디어,방송미디어,케이블,tvN/OCN/Mnet 등 
311690,CJ 바이오사이언스,의료장비및서비스,헬스케어,유전체분석,마이크로바이옴(Microbiome)
120,CJ대한통운,육상운수,운송,물류,종합물류
11150,CJ씨푸드,식료품,음식료,수산,수산
97950,CJ제일제당,식료품,음식료,식품_제조,식품제조업
51500,CJ프레시웨이,식료품,음식료,식자재_유통,식자재유통
58820,CMG제약,제약,헬스케어,제약_완제의약품,(비뇨기계) 레미피드정(소화성궤양용제 외)
23460,CNH,자동차,지주사,지주사,지주사
56730,CNT85,건설,에너지,플랜트_엔지니어링,"산업설비, 소각설비"
480,CR홀딩스,금속및광물,지주사,지주사,지주사
65770,CS,통신장비,통신,통신장비,이동통신 중계시스템 제조
83660,CSA 코스믹,개인생활용품,화장품,화장품_브랜드,"16브랜드, 원더바스"
590,CS홀딩스,금속및광물,지주사,지주사,지주사
12030,DB,IT서비스,인터넷,SI_계열,시스템통합(SI): DB
16610,DB금융투자,증권,금융,증권,증권업
5830,DB손해보험,보험,금융,손해보험,손해보험
990,DB하이텍,반도체및관련장비,반도체,비메모리_Foundry,Foundry
139130,DGB금융지주,상업은행,금융,금융지주,"대구은행, 하이투자증권 등"
60900,DGP,에너지시설및서비스,에너지,신재생_기타,바이오디젤
290120,DH오토리드,자동차부품,Auto,자동차부품_제동조향,휠
25440,DH오토웨어,자동차부품,Auto,자동차부품_전기전자,카 인포테인먼트(Car Audio/Video)
1530,DI동일,섬유및의복,패션,섬유,방적(Spinning)
210,DL,화학,건설,건설,"국내외 건축, 토목, 플랜트, 주택 등"
375500,DL이앤씨,건설,건설,건설,"국내외 건축, 토목, 플랜트, 주택 등"
68790,DMS,디스플레이및관련부품,디스플레이,디스플레이_장비,"디스플레이패널 습식 세정장비,약액장비(식각,현상,박리)"
7340,DN오토모티브,자동차부품,Auto,자동차부품_축전지,자동차 배터리(축전지)
4840,DRB동일,화학,Auto,자동차부품_차체,자동차 Door 
241520,DSC인베스트먼트,창업투자및종금,금융,밴처캐피탈_VC,밴처캐피탈(VC)
155660,DSR,금속및광물,기초소재,철강_선재가공,와이어로프 및 경강선 제조 및 판매
69730,DSR제강,금속및광물,기초소재,철강_선재가공,와이어로프 및 경강선 제조 및 판매
17860,DS단석,화학,에너지,신재생_기타,바이오에너지
180400,DXVX,의료장비및서비스,헬스케어,체외진단,분자진단사업
17940,E1,석유및가스,에너지,LPG,LPG
245620,EDGC,의료장비및서비스,헬스케어,유전체분석,유전체 분석 전문기업
37370,EG,금속및광물,기초소재,비철금속_기타,페라이트용 산화철
50120,ES큐브,레저용품,내수,리조트,텐트
383220,F&F,섬유및의복,패션,의류_브랜드,"MLB, Discovery"
7700,F&F홀딩스,섬유및의복,지주사,지주사,지주사
214270,FSN,미디어,광고,광고_비계열,디지털 광고 전문 업체
130500,GH신소재,자동차부품,Auto,자동차부품_차체,자동차용 내/외장재(부직포)
114090,GKL,호텔및레저,내수,카지노,카지노
900290,GRT,화학,외국계,CNY,정밀 코팅 기능성 신소재 및 고분자 박막자재 개발
78930,GS,석유및가스,기초소재,정유,정유
83450,GST,반도체및관련장비,반도체,반도체_장비(후공정),"SCRUBBER, Chiler"
6360,GS건설,건설,건설,건설,"국내외 건축, 토목, 플랜트, 주택 등"
1250,GS글로벌,무역,에너지,종합상사,종합상사
7070,GS리테일,도소매,유통,편의점,편의점
297890,HB솔루션,디스플레이및관련부품,디스플레이,디스플레이_장비,디스플레이 제조설비 자동화시스템 구축
440290,HB인베스트먼트,창업투자및종금,금융,밴처캐피탈_VC,밴처캐피탈(VC)
78150,HB테크놀러지,디스플레이및관련부품,디스플레이,디스플레이_부품,LCD Back Light Unit의 핵심부품인 도광판 제조
12630,HDC,건설,지주사,지주사,지주사
39570,HDC랩스,건설,건설,임대관리,건물관리 등등
89470,HDC현대EP,자동차부품,Auto,자동차부품_차체,자동차용 내/외장재(컴파운드)
294870,HDC현대산업개발,건설,건설,건설,"국내외 건축, 토목, 플랜트, 주택 등"
